iter	Logloss
200	0.3311902861
201	0.3310915177
202	0.33066896
203	0.3304209606
204	0.3297594634
205	0.3288835536
206	0.328740576
207	0.3280642476
208	0.3270732991
209	0.3268568833
210	0.3265639388
211	0.3263622474
212	0.3261371468
213	0.326117793
214	0.3256753185
215	0.325133155
216	0.3246810416
217	0.3244068557
218	0.3241110118
219	0.3226539596
220	0.3225286042
221	0.3212620038
222	0.3201957745
223	0.3190331273
224	0.3186463449
225	0.3174208333
226	0.3158293062
227	0.3153995564
228	0.3148767559
229	0.3146619119
230	0.3135925816
231	0.3128479828
232	0.311867125
233	0.3113304019
234	0.3104670445
235	0.3094876092
236	0.3093108135
237	0.3088178266
238	0.3085073843
239	0.3083768474
240	0.3082244722
241	0.307898763
242	0.306726962
243	0.3060679153
244	0.3056515994
245	0.3053292406
246	0.3044938133
247	0.3035299313
248	0.3030244675
249	0.3026494937
250	0.302218995
251	0.3017755442
252	0.3007584593
253	0.3003332764
254	0.3002326521
255	0.2999093946
256	0.299821579
257	0.2994983072
258	0.2989025062
259	0.2986350151
260	0.2985335145
261	0.2973870877
262	0.2967109527
263	0.2963927907
264	0.2960571588
265	0.2960089811
266	0.2957807981
267	0.2953504644
268	0.2945729944
269	0.2938800534
270	0.2938179837
271	0.291827576
272	0.2914781028
273	0.2913453255
274	0.2909989451
275	0.2902341273
276	0.2899626592
277	0.289669176
278	0.2896101569
279	0.2890592536
280	0.2889360596
281	0.2887606778
282	0.2884833931
283	0.2882234477
284	0.2878537733
285	0.2872185064
286	0.2869240593
287	0.2868641116
288	0.2857384856
289	0.2854430481
290	0.2853429018
291	0.2846839625
292	0.2845685771
293	0.2833697564
294	0.28272464
295	0.2812294158
296	0.2806150952
297	0.2803710854
298	0.2801952819
299	0.2794122494
300	0.2792745626
301	0.2789526651
302	0.2786532499
303	0.2780751186
304	0.2771889487
305	0.2770797015
306	0.2770297051
307	0.2769495948
308	0.2757351445
309	0.2754226102
310	0.2752320693
311	0.2751209902
312	0.2747645506
313	0.2746508811
314	0.2744160305
315	0.2742575007
316	0.2740458683
317	0.2735101088
318	0.2731359213
319	0.2728887983
320	0.2716106167
321	0.2710267162
322	0.2707491946
323	0.270511349
324	0.2702808365
325	0.269454828
326	0.2687575343
327	0.2682416092
328	0.267987647
329	0.267801559
330	0.2674727277
331	0.267325119
332	0.2668090134
333	0.2663799547
334	0.2662450821
335	0.2656488057
336	0.2652382896
337	0.2650989149
338	0.2648402196
339	0.2644777407
340	0.2641409325
341	0.2640000316
342	0.2637222315
343	0.2636708435
344	0.2635016186
345	0.2631440711
346	0.2627407543
347	0.2622158921
348	0.2619622262
349	0.2616232417
350	0.2610494295
351	0.2605591879
352	0.2600528364
353	0.2593079881
354	0.2590620495
355	0.2586581575
356	0.2580855559
357	0.2579352735
358	0.257932323
359	0.257781291
360	0.2576702555
361	0.2567434308
362	0.2563331699
363	0.2560756097
364	0.2559008615
365	0.2554221683
366	0.2552824186
367	0.2549596604
368	0.254925489
369	0.2547425858
370	0.2546056684
371	0.2545126568
372	0.2542453536
373	0.2539765811
374	0.2534366634
375	0.2530514812
376	0.2518444791
377	0.2512571124
378	0.2511067811
379	0.2510104263
380	0.2501911663
381	0.2499589649
382	0.2496303755
383	0.2493997738
384	0.2492095657
385	0.2489813696
386	0.2485021731
387	0.2480063762
388	0.2472921802
389	0.2468239128
390	0.2467479723
391	0.2466363118
392	0.2464439161
393	0.24636845
394	0.2455199673
395	0.2453430023
396	0.2450745983
397	0.2449293763
398	0.2446635141
399	0.2437346617
400	0.2433349736
401	0.2430449218
402	0.2429366903
403	0.2428057491
404	0.2426753849
405	0.2425625105
406	0.242413223
407	0.2418901897
408	0.241709111
409	0.2414549136
410	0.2413848748
411	0.240913176
412	0.2402465494
413	0.240097312
414	0.2398454668
415	0.2394680949
416	0.2390933436
417	0.238322197
418	0.2377016383
419	0.2374884884
420	0.2373739456
421	0.2372311216
422	0.2370501953
423	0.2368789487
424	0.2368681555
425	0.236732457
426	0.2362807302
427	0.2361482565
428	0.2358928481
429	0.2357207625
430	0.2353250808
431	0.2350352526
432	0.2349200799
433	0.2347001425
434	0.2341011676
435	0.2336590643
436	0.2331718882
437	0.2330555001
438	0.2326900681
439	0.2326125911
440	0.2325482035
441	0.2317735977
442	0.2317417578
443	0.2316441223
444	0.2315205348
445	0.2315049094
446	0.2314705974
447	0.2302092682
448	0.2301461459
449	0.2300805365
450	0.2291176405
451	0.2288415084
452	0.2279209079
453	0.227441109
454	0.2270475497
455	0.2264700964
456	0.2261832093
457	0.226115737
458	0.22592465
459	0.2259110207
460	0.2256013045
461	0.2250947404
462	0.224992824
463	0.2248608994
464	0.2245156797
465	0.2242545335
466	0.2242498257
467	0.2236208811
468	0.223471946
469	0.2231495016
470	0.2230753496
471	0.2228714755
472	0.2227210592
473	0.2223549021
474	0.2223203399
475	0.2221092997
476	0.2217576805
477	0.2216339565
478	0.221411421
479	0.2210226207
480	0.2209395484
481	0.2206925838
482	0.2203605485
483	0.2201344186
484	0.2200921684
485	0.2199330509
486	0.2197535463
487	0.2193523671
488	0.2190606403
489	0.2189637312
490	0.2187783881
491	0.2185382453
492	0.2182796422
493	0.2180942249
494	0.2177969647
495	0.2175918007
496	0.217368593
497	0.2170342776
498	0.2169254999
499	0.2168685745
500	0.2167899026
501	0.2166955581
502	0.2166188563
503	0.2165290005
504	0.2164830207
505	0.2162635488
506	0.2160323922
507	0.2158852302
508	0.2157713547
509	0.2155417537
510	0.2152395674
511	0.2149452126
512	0.2148258707
513	0.2146592089
514	0.2144638302
515	0.2143856409
516	0.2142761911
517	0.214203058
518	0.2141763419
519	0.2139804588
520	0.2139186645
521	0.2136504024
522	0.2127908801
523	0.2125705772
524	0.2125280268
525	0.2122783271
526	0.2120319102
527	0.2120200916
528	0.2119642626
529	0.2116450318
530	0.2113585956
531	0.2107001429
532	0.2106054352
533	0.2098821016
534	0.2098547395
535	0.2097473443
536	0.2095381858
537	0.2094490859
538	0.2093869032
539	0.2093767009
540	0.2091663875
541	0.2089358973
542	0.2087331725
543	0.2085383039
544	0.207929825
545	0.2077781591
546	0.2076000152
547	0.2074197617
548	0.2073636382
549	0.2069501525
550	0.2067177278
551	0.2061790153
552	0.2057125305
553	0.2056093349
554	0.2053577623
555	0.2052629402
556	0.2050041978
557	0.2048655669
558	0.2045794185
559	0.2044544337
560	0.2041559148
561	0.2038094656
562	0.2036465861
563	0.2035855283
564	0.2035472255
565	0.2033338832
566	0.2032756402
567	0.2031504502
568	0.2027502858
569	0.2025939847
570	0.2025268865
571	0.2024847432
572	0.2024245157
573	0.2023360033
574	0.2022183122
575	0.2020796291
576	0.2019045106
577	0.2018224391
578	0.2016151591
579	0.2013899375
580	0.2012226749
581	0.2009281676
582	0.2009183582
583	0.2008465998
584	0.2007395646
585	0.2005590759
586	0.2004996019
587	0.2003349451
588	0.2003066857
589	0.2001271409
590	0.1999810105
591	0.1999548677
592	0.1996249254
593	0.1995803113
594	0.1995345599
595	0.19938969
596	0.1992991853
597	0.1992432411
598	0.1992024976
599	0.1990779747
600	0.1989753381
601	0.1988256775
602	0.1984498485
603	0.1982353227
604	0.1977712781
605	0.19766096
606	0.1975502941
607	0.1974943904
608	0.1973415365
609	0.1970707758
610	0.1967610416
611	0.1967157187
612	0.1965870661
613	0.1960473669
614	0.195832222
615	0.1956370678
616	0.1955527278
617	0.1954397328
618	0.1953942589
619	0.1951766466
620	0.195084075
621	0.1949327905
622	0.1949269504
623	0.1948341681
624	0.194764134
625	0.1945979879
626	0.1943997026
627	0.1942441064
628	0.1940995812
629	0.1940323127
630	0.1937738196
631	0.1937551352
632	0.1933881854
633	0.1933235454
634	0.1929616478
635	0.1928308004
636	0.1928185623
637	0.1926103379
638	0.1924010569
639	0.1918831779
640	0.1918109416
641	0.1916594151
642	0.1913672232
643	0.1910028228
644	0.1907480539
645	0.1905364591
646	0.1903609951
647	0.1902800208
648	0.1901719554
649	0.1898839652
650	0.1898270373
651	0.1895631353
652	0.1893952076
653	0.1893254849
654	0.1891485691
655	0.1890714542
656	0.1885472551
657	0.1884714587
658	0.1884285644
659	0.1881775428
660	0.1881499655
661	0.1879938821
662	0.1879028991
663	0.1878123841
664	0.1877349853
665	0.1876062673
666	0.1875202391
667	0.1874119924
668	0.1872950963
669	0.1872205049
670	0.1870259256
671	0.1869051935
672	0.186859907
673	0.1868417915
674	0.1867608227
675	0.1866159477
676	0.1865619654
677	0.1863742277
678	0.1861692799
679	0.186129135
680	0.1859449548
681	0.1856565693
682	0.1856259066
683	0.1853073656
684	0.1852726203
685	0.1851933186
686	0.1848175679
687	0.1847887364
688	0.1847235066
689	0.18464777
690	0.1843944571
691	0.1842722037
692	0.184005396
693	0.1839354922
694	0.18359279
695	0.1833384463
696	0.1831348283
697	0.1830353512
698	0.1827226687
699	0.1826686226
700	0.1825776746
701	0.1822509884
702	0.1821578979
703	0.1818818053
704	0.1817216585
705	0.1817060999
706	0.1816265543
707	0.1815558983
708	0.1814150841
709	0.1807225134
710	0.1806171119
711	0.1805803668
712	0.1804596576
713	0.1802975519
714	0.1802287433
715	0.1800200628
716	0.1799230058
717	0.1797780057
718	0.1797510506
719	0.1795472121
720	0.1794259927
721	0.1792052671
722	0.1790573948
723	0.1790040155
724	0.1789563197
725	0.178874996
726	0.1786888805
727	0.1784264092
728	0.1783239771
729	0.1781410279
730	0.1777948942
731	0.1775365963
732	0.1774234785
733	0.1773094117
734	0.1771056665
735	0.1768125798
736	0.1767007271
737	0.1764022306
738	0.176244917
739	0.1761351935
740	0.1760339618
741	0.1760053512
742	0.1758041762
743	0.1757624903
744	0.1755379913
745	0.1752566189
746	0.1749192868
747	0.1747715294
748	0.174548656
749	0.1743993787
750	0.1743105252
751	0.1742653862
752	0.1741177049
753	0.1739480187
754	0.1738874471
755	0.1737568948
756	0.1736066867
757	0.173549089
758	0.1734034751
759	0.1733866726
760	0.1732843099
761	0.1731438213
762	0.1731094923
763	0.1730799589
764	0.1730275117
765	0.1729772871
766	0.1727836428
767	0.1727118297
768	0.172421859
769	0.1723055824
770	0.1722390678
771	0.1720740404
772	0.1719128509
773	0.1718705133
774	0.1718484266
775	0.1718059336
776	0.1717211678
777	0.1715446521
778	0.1714914706
779	0.1714396681
780	0.1712850213
781	0.1711247977
782	0.1709201391
783	0.1708014238
784	0.1707800133
785	0.1706399109
786	0.1705620811
787	0.1704427926
788	0.1703041068
789	0.1701464135
790	0.1699628485
791	0.1699349184
792	0.1698330924
793	0.1697796531
794	0.1696988086
795	0.169536822
796	0.1693799598
797	0.1692503168
798	0.1687054445
799	0.1686139033
800	0.1685458707
801	0.1682858784
802	0.1682655909
803	0.1681696689
804	0.1681465187
805	0.1681447418
806	0.1677475707
807	0.1676153493
808	0.1674151718
809	0.167242128
810	0.1671206468
811	0.1669741223
812	0.1668994778
813	0.1665823184
814	0.1665126094
815	0.1664001686
816	0.1663641548
817	0.1662037377
818	0.1658724657
819	0.1658386753
820	0.165430059
821	0.1652533563
822	0.1651954857
823	0.1651536529
824	0.1650223933
825	0.164482878
826	0.1643479486
827	0.1637740131
828	0.1636709608
829	0.1633396486
830	0.1630490811
831	0.1630082068
832	0.1628481551
833	0.1626251055
834	0.1625050304
835	0.1624000954
836	0.1623203016
837	0.1622452408
838	0.1621406308
839	0.1618633553
840	0.1618288089
841	0.1617512918
842	0.1614589525
843	0.1613802149
844	0.1613002822
845	0.161213926
846	0.1610544438
847	0.1609643479
848	0.160857069
849	0.1606193674
850	0.1605672762
851	0.1605033976
852	0.1602645135
853	0.1602486118
854	0.1601878229
855	0.1599902943
856	0.1598875829
857	0.1598334973
858	0.1597779957
859	0.1596790532
860	0.1595508067
861	0.1593192273
862	0.159186921
863	0.1591419119
864	0.1590675237
865	0.1589251973
866	0.1587989192
867	0.1586478324
868	0.1585639346
869	0.1585330423
870	0.1584907234
871	0.1583333562
872	0.1582059637
873	0.1580553977
874	0.1580401841
875	0.1579932226
876	0.1579677174
877	0.1576134551
878	0.1575001155
879	0.1571749808
880	0.1571436172
881	0.157051166
882	0.156943181
883	0.1568396915
884	0.156799417
885	0.1567634543
886	0.1567021923
887	0.156426967
888	0.1561957373
889	0.1561119806
890	0.1560891632
891	0.1560304054
892	0.1557899279
893	0.155583531
894	0.1554067606
895	0.1553740927
896	0.155322327
897	0.1552087405
898	0.1548586742
899	0.1547832396
900	0.1547348449
901	0.1546744513
902	0.1544392189
903	0.1543144861
904	0.1541898761
905	0.1539689179
906	0.153775588
907	0.153717206
908	0.1534949238
909	0.1533623149
910	0.1533402876
911	0.1532364104
912	0.1531411786
913	0.153109738
914	0.1529483195
915	0.1526660576
916	0.1526408898
917	0.1525582572
918	0.1524178325
919	0.1521660295
920	0.1518818175
921	0.1517689647
922	0.1515980028
923	0.1514831017
924	0.1514561749
925	0.1513615674
926	0.1513454563
927	0.1512295201
928	0.1512180631
929	0.1511521623
930	0.1510283926
931	0.1508682344
932	0.1507626767
933	0.1506639252
934	0.1506009317
935	0.1503583695
936	0.1502576057
937	0.1501497754
938	0.149978413
939	0.1498670193
940	0.1497421953
941	0.1496238612
942	0.149446601
943	0.1493440522
944	0.1492876434
945	0.1492410345
946	0.1491696234
947	0.1490818498
948	0.1485887026
949	0.1485043994
950	0.1483515717
951	0.1483043637
952	0.1482176836
953	0.1481807822
954	0.148001696
955	0.1479288219
956	0.1478749574
957	0.1476087224
958	0.1475421057
959	0.147358735
960	0.1472140634
961	0.1471364537
962	0.1470055681
963	0.146835776
964	0.146789915
965	0.146651226
966	0.1466038703
967	0.1465725636
968	0.1463790804
969	0.1462458889
970	0.1461301521
971	0.1461155518
972	0.1460049305
973	0.1459392974
974	0.1457452895
975	0.1456480443
976	0.145487933
977	0.1453909906
978	0.14526481
979	0.1451283807
980	0.1450386332
981	0.1449194436
982	0.1448807703
983	0.14457627
984	0.144524664
985	0.1443948657
986	0.1441169717
987	0.1440720274
988	0.1440301668
989	0.1439941474
990	0.1437771447
991	0.1437523083
992	0.1437102014
993	0.1436946303
994	0.1435816911
995	0.1435707253
996	0.1433912384
997	0.1432189189
998	0.1431666949
999	0.1430765858
